id,value_a,value_b,value_c,category,flag,text_field
0,104.57075619631647,479.3638325407149,16.385174872596366,A,0,Record_0 description
1,84.40023840639256,476.0411287366708,250.24185123644128,B,0,Record_1 description
2,111.25676793709685,444.2672069995643,18.039705202044516,B,0,Record_2 description
3,114.1084707458682,534.2786342924667,173.43855616472058,A,0,Record_3 description
4,70.73447217019245,518.7716950163807,58.7946901989292,A,0,Record_4 description
5,80.46730739706523,372.74802413844657,29.734681110292783,D,1,Record_5 description
6,101.91760604750928,-1590.5718532237447,0.8401798993519795,C,0,Record_6 description
7,95.25636111484627,533.9747562564603,89.83747830195115,C,0,Record_7 description
8,99.74798263743567,434.7770856964372,107.80110132499277,A,0,Record_8 description
9,87.2043410863963,524.1632924080259,482.8015309458368,D,0,Record_9 description
10,113.19096962294243,562.4745262487351,89.75243609199197,B,0,Record_10 description
11,111.66687903143422,398.32377300755525,32.40663917666025,C,0,Record_11 description
12,100.99046046341824,-4219.799939194732,189.08339166220983,B,0,Record_12 description
13,116.90861810452049,633.9545345916235,8.089616688435628,A,0,Record_13 description
14,107.01264013378068,528.1256626369967,583.5046436479081,B,0,Record_14 description
15,87.11061305675142,466.46074746613834,414.96094744255123,A,0,Record_15 description
16,105.53126176123749,425.2847637882989,263.24888747852214,D,0,Record_16 description
17,85.61676098756502,459.16473208741763,497.4232339756456,B,0,Record_17 description
18,113.17675451960909,404.7542131109352,121.35072296142937,D,0,Record_18 description
19,99.2511113352062,570.6729739272472,354.741366259313,D,0,Record_19 description
20,2740.087162907156,437.8599077114943,129.47781194550927,A,0,Record_20 description
21,89.78605683394088,587.4827670573013,1044.9172780612234,B,0,Record_21 description
22,118.33812008011046,467.9496864183991,152.17847661684158,A,0,Record_22 description
23,97.68205776896797,416.5319853106148,170.8453101539888,A,0,Record_23 description
24,1012.0375821133765,465.8958729588959,148.07140794225074,D,0,Record_24 description
25,94.71799674267656,290.0666577998867,194.83574957309898,C,0,Record_25 description
26,107.98463778330023,490.33851386607944,721.8198677261312,B,0,Record_26 description
27,105.48166096546117,486.3904647095873,28.287856946402982,A,0,Record_27 description
28,106.19098917393983,565.9794197238374,38.88828673754093,C,0,Record_28 description
29,106.46231504511825,349.09560576132964,146.25888561905228,C,0,Record_29 description
30,132.12471401305692,592.9493088690838,153.80006369949285,A,0,Record_30 description
31,93.90377475423077,565.6479435998125,89.88668234054586,A,0,Record_31 description
32,92.31635906392694,-4703.707126466292,25.843569910820825,B,0,Record_32 description
33,87.79340907628183,495.782289919669,303.7297373095433,C,0,Record_33 description
34,109.23969133863244,581.1117467282204,56.36525886740411,D,0,Record_34 description
35,4832.528128681639,382.30047720744756,318.9271801235264,B,0,Record_35 description
36,98.29078813517687,557.0438052163627,882.6853387712111,A,0,Record_36 description
37,87.39765284556208,438.3069790320044,500.14477732003684,D,0,Record_37 description
38,87.6327817646314,367.8878534061651,45.492136218443214,B,0,Record_38 description
39,109.75889181737051,410.06875854685114,58.17502183020646,C,0,Record_39 description
40,111.14881256805164,500.44249109034166,78.472318449789,A,0,Record_40 description
41,108.14731402457792,434.05606334259176,269.7150145263004,A,0,Record_41 description
42,90.01735439066958,530.085882535664,311.41427402620485,A,0,Record_42 description
43,103.4824198460008,355.34099559967865,9.988081134478552,D,0,Record_43 description
44,1816.2580643166941,329.8321965107311,107.59664846539478,A,0,Record_44 description
45,103.2803289509352,609.7909947314861,429.6697771935385,D,0,Record_45 description
46,113.07143166922285,572.3040103521148,174.60985802576124,D,1,Record_46 description
47,103.35393323162023,416.0562531268954,177.42930576954038,C,0,Record_47 description
48,110.18370344607843,499.76002852235683,56.64374011564768,D,0,Record_48 description
